DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2014,177462,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2015,170174,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2016,168764,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2017,155337,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2018,150654,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2011,4766,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2012,1039,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2013,4478,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2014,4265,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2015,3956,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2016,3657,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2017,3716,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2018,3520,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2019,2661,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FI,2020,3165,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2011,545,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2012,551,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2013,506,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2014,16112,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,FR,2015,16249,
